,rank
Leg30-JV7,0.31790123456790115
Leg180-JV14,0.36728395061728397
Leg90-JV14,0.3703703703703703
Leg30-JV14,0.38271604938271603
Leg14-JV21,0.3888888888888889
Leg180-JV21,0.4197530864197531
JV14,0.4290123456790123
Leg14-JV14,0.43209876543209885
Leg14-JV28,0.4351851851851851
Leg180-JV7,0.4351851851851852
Leg90-JV7,0.441358024691358
Leg180-JV35,0.4506172839506173
Leg60-JV7,0.4506172839506173
Leg14-JV7,0.4567901234567901
Leg60-JV21,0.45679012345679015
Leg60-JV14,0.45679012345679015
Leg60-JV35,0.47222222222222227
Leg180-JV28,0.4876543209876543
Leg90-JV21,0.4876543209876543
Leg30-JV35,0.4938271604938272
Leg30-JV21,0.5092592592592592
JV7,0.5123456790123456
Leg90-JV28,0.5154320987654321
Leg14-JV35,0.5462962962962964
JV21,0.552469135802469
JV35,0.5648148148148148
Leg90-JV35,0.5740740740740741
Leg30-JV28,0.5771604938271605
Leg60-JV28,0.6141975308641975
JV28,0.6296296296296297
Leg14,0.6574074074074073
Leg30,0.6944444444444443
Leg180,0.70679012345679
Leg90,0.7839506172839507
Leg60,0.8148148148148149
default,0.888888888888889
